Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
4763,20.4,15.6,8.1,44.0,22.7
4764,24.3,15.4,9.0,48.7,20.5
4765,21.1,15.7,8.9,45.7,21.9
4766,26.7,15.4,8.9,51.1,19.6
4767,21.5,15.6,8.9,46.0,21.7
4768,24.4,15.5,8.9,48.8,20.5
4769,20.5,15.7,8.9,45.0,22.2
4770,25.5,15.3,9.0,49.8,20.1
4771,21.5,15.7,9.0,46.2,21.7
4772,25.9,15.4,8.9,50.2,19.9
4773,21.0,15.6,8.9,45.6,21.9
4774,26.5,15.6,8.1,50.2,19.9
4775,21.5,15.6,8.2,45.3,22.1
4776,24.5,15.3,9.1,48.9,20.4
4777,21.0,15.5,8.9,45.4,22.0
4778,25.3,15.4,9.0,49.6,20.1
4779,21.4,15.6,8.9,45.9,21.8
4780,26.0,15.4,9.0,50.5,19.8
4781,21.0,15.5,9.0,45.5,22.0
4782,25.0,15.4,9.0,49.4,20.3
4783,20.9,15.7,9.0,45.6,21.9
4784,25.9,15.4,8.9,50.1,19.9
4785,20.7,16.9,8.9,46.4,21.5
4786,26.6,15.5,9.0,51.1,19.6
4787,21.7,15.6,8.9,46.2,21.6
4788,26.5,15.3,8.1,50.0,20.0
4789,20.5,15.5,9.0,45.1,22.2
4790,26.6,15.4,9.0,51.0,19.6
4791,20.4,15.5,9.4,45.3,22.1
4792,25.4,15.7,9.7,50.8,19.7
4793,20.5,15.6,9.0,45.1,22.2
4794,26.5,15.6,9.0,51.1,19.6
4795,20.5,15.6,8.9,45.0,22.2
4796,24.3,15.5,9.3,49.1,20.4
4797,20.6,15.5,8.9,45.0,22.2
4798,24.9,15.6,8.2,48.6,20.6
4799,20.6,15.6,8.2,44.5,22.5
4800,25.6,15.5,9.0,50.1,20.0
4801,20.4,15.5,9.0,44.9,22.3
4802,24.2,15.6,8.9,48.8,20.5
4803,20.6,15.6,8.1,44.2,22.6
4804,25.1,15.5,9.1,49.7,20.1
4805,20.5,15.3,9.0,44.8,22.3
4806,25.9,15.4,8.1,49.5,20.2
4807,21.0,15.5,8.2,44.7,22.4
4808,24.4,15.5,9.0,49.0,20.4
4809,21.1,15.6,8.1,44.9,22.3
4810,25.1,15.6,8.3,49.0,20.4
4811,20.6,15.4,8.2,44.1,22.7
4812,26.9,15.5,8.3,50.6,19.8
4813,21.2,15.5,8.2,44.9,22.3
4814,24.4,15.3,8.3,48.0,20.8
4815,23.0,15.4,8.2,46.6,21.4
4816,21.9,15.3,8.2,45.5,22.0
4817,20.4,15.5,8.2,44.1,22.7
