Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
3898,17.9,1.5,2.8,22.2,45.1
3899,17.9,1.4,2.7,22.0,45.4
3900,18.2,3.7,2.8,24.7,40.5
3901,18.0,1.4,2.8,22.3,44.8
3902,20.0,1.9,3.0,24.9,40.2
3903,19.9,3.7,2.8,26.4,37.8
3904,18.0,1.4,18.1,37.5,26.6
3905,17.9,1.5,2.8,22.1,45.2
3906,18.1,3.7,2.8,24.5,40.8
3907,17.9,1.3,2.7,22.0,45.5
3908,17.5,1.4,2.7,21.6,46.3
3909,17.8,3.7,2.8,24.4,41.0
3910,17.9,1.4,10.7,30.0,33.4
3911,17.8,1.5,2.8,22.1,45.3
3912,18.1,3.7,2.8,24.6,40.6
3913,17.9,1.4,19.3,38.6,25.9
3914,17.7,1.5,2.8,22.0,45.4
3915,18.2,3.7,2.7,24.6,40.7
3916,17.4,1.4,2.7,21.4,46.6
3917,17.5,1.5,2.7,21.8,45.9
3918,17.7,3.7,2.7,24.1,41.4
3919,18.2,1.9,19.9,40.0,25.0
3920,18.4,1.6,2.8,22.8,43.9
3921,18.0,3.7,3.0,24.7,40.4
3922,17.9,1.4,2.8,22.1,45.2
3923,17.7,1.4,2.7,21.8,45.9
3924,17.6,3.7,2.7,24.0,41.8
3925,18.1,1.4,19.7,39.2,25.5
3926,17.9,1.5,2.7,22.1,45.1
3927,18.1,3.7,2.8,24.6,40.7
3928,18.2,1.5,2.8,22.5,44.4
3929,17.7,1.4,2.7,21.9,45.7
3930,17.8,3.7,2.8,24.3,41.1
3931,17.8,1.4,6.9,26.0,38.4
3932,17.5,1.4,2.7,21.6,46.2
3933,17.7,3.7,2.8,24.3,41.2
3934,20.1,1.9,3.4,25.4,39.4
3935,19.7,1.5,2.8,24.0,41.6
3936,18.0,3.7,2.8,24.5,40.8
3937,17.9,1.4,25.5,44.8,22.3
3938,17.8,1.5,2.7,22.0,45.4
3939,17.9,3.6,2.7,24.2,41.3
3940,17.7,1.3,4.0,23.0,43.5
