Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
3198,24.8,4.3,3.4,32.5,30.8
3199,23.0,4.4,3.4,30.8,32.4
3200,21.9,4.3,3.4,29.6,33.7
3201,23.6,4.3,3.4,31.4,31.9
3202,24.1,4.3,3.4,31.7,31.5
3203,22.6,4.4,3.4,30.4,32.9
3204,23.5,4.3,3.5,31.3,32.0
3205,24.4,4.3,3.4,32.1,31.1
3206,23.1,4.3,3.6,31.0,32.3
3207,23.1,4.2,3.4,30.8,32.5
3208,22.6,4.2,3.4,30.2,33.1
3209,23.5,4.1,3.4,31.1,32.2
3210,23.6,4.2,3.4,31.2,32.0
3211,23.0,4.2,3.4,30.5,32.8
3212,23.8,4.2,3.4,31.4,31.8
3213,23.5,4.2,3.4,31.2,32.1
3214,23.9,4.2,3.4,31.6,31.7
3215,23.3,4.8,3.4,31.5,31.8
3216,22.8,4.7,3.4,30.9,32.4
3217,22.0,4.3,3.4,29.7,33.6
3218,23.1,4.6,3.4,31.1,32.1
3219,23.5,4.6,3.4,31.5,31.8
3220,22.5,4.3,3.4,30.2,33.1
3221,23.0,4.3,3.4,30.8,32.5
3222,23.2,4.3,3.4,30.9,32.4
3223,22.4,4.3,3.4,30.1,33.2
3224,24.6,4.3,3.4,32.3,31.0
3225,24.5,4.6,3.4,32.5,30.8
3226,22.5,4.7,3.4,30.5,32.8
3227,23.1,4.7,3.4,31.3,32.0
3228,23.5,4.7,3.4,31.6,31.6
3229,23.1,4.6,3.4,31.1,32.1
3230,22.4,4.6,3.4,30.4,32.9
3231,22.7,4.8,3.4,30.9,32.4
3232,29.9,4.3,3.4,37.5,26.6
3233,32.1,5.3,3.4,40.8,24.5
3234,35.6,4.7,3.4,43.7,22.9
3235,25.9,4.7,3.4,34.0,29.4
3236,30.1,4.7,3.5,38.3,26.1
3237,34.5,4.4,3.4,42.3,23.7
3238,29.8,4.4,3.4,37.5,26.6
3239,33.1,4.6,3.4,41.1,24.4
3240,25.1,4.8,3.3,33.2,30.1
3241,22.7,4.7,3.4,30.8,32.5
3242,21.8,4.7,3.4,29.9,33.5
3243,22.4,4.7,3.4,30.5,32.8
3244,22.8,4.8,3.4,31.0,32.2
3245,21.7,4.7,3.4,29.7,33.7
3246,22.5,4.7,3.6,30.8,32.4
3247,22.9,4.8,3.7,31.3,32.0
3248,23.3,4.8,3.4,31.4,31.8
3249,22.5,4.7,3.4,30.6,32.7
3250,22.9,4.7,3.4,31.0,32.2
3251,22.7,4.8,3.4,30.8,32.4
3252,20.6,4.4,3.4,28.5,35.1
3253,20.7,4.4,3.4,28.5,35.1
3254,21.8,4.8,3.4,30.0,33.4
3255,22.9,4.6,3.4,30.9,32.3
3256,22.8,4.6,3.4,30.8,32.5
3257,21.3,4.3,3.4,29.0,34.5
3258,22.2,4.6,3.4,30.2,33.1
3259,21.4,4.3,3.4,29.1,34.3
3260,22.9,4.7,3.4,30.9,32.4
3261,23.0,4.7,3.4,31.0,32.2
3262,22.6,4.8,3.4,30.8,32.5
3263,22.0,4.4,3.4,29.8,33.5
3264,23.6,4.3,3.4,31.3,31.9
3265,24.8,4.3,3.5,32.6,30.7
3266,23.8,4.3,3.4,31.6,31.6
3267,20.7,4.3,3.4,28.4,35.2
3268,22.7,4.6,3.4,30.7,32.5
3269,22.4,4.7,3.5,30.5,32.7
3270,22.6,4.6,3.4,30.6,32.7
3271,22.8,4.6,3.4,30.8,32.5
3272,21.2,4.3,3.4,28.9,34.6
3273,22.9,4.3,3.4,30.6,32.7
3274,22.5,4.4,3.4,30.2,33.1
3275,23.1,4.3,3.3,30.6,32.6
3276,22.3,4.3,3.4,30.0,33.3
3277,25.9,4.6,3.4,33.9,29.5
3278,21.7,4.3,3.4,29.4,34.0
3279,24.0,4.8,3.4,32.2,31.1
3280,24.4,4.6,3.5,32.5,30.8
3281,21.0,4.3,3.4,28.7,34.8
3282,24.0,4.7,3.4,32.1,31.1
3283,22.9,4.3,3.4,30.5,32.7
3284,22.9,4.3,3.4,30.6,32.7
3285,24.4,4.6,3.4,32.4,30.8
3286,22.8,4.6,3.4,30.8,32.5
3287,22.5,4.6,3.4,30.5,32.8
3288,21.7,4.3,3.4,29.4,34.0
3289,23.9,4.6,3.4,31.8,31.4
3290,22.4,4.7,3.5,30.6,32.7
3291,23.6,4.7,3.4,31.7,31.6
3292,22.9,4.8,3.4,31.1,32.2
3293,23.2,4.8,3.4,31.4,31.8
3294,22.5,4.7,3.4,30.6,32.7
3295,26.1,4.6,3.4,34.2,29.3
3296,30.2,4.6,3.4,38.3,26.1
3297,38.9,4.7,3.4,47.1,21.3
3298,30.0,4.4,3.4,37.8,26.4
3299,31.2,4.3,3.4,38.9,25.7
3300,24.3,4.4,3.4,32.0,31.2
3301,20.9,4.4,3.4,28.8,34.8
3302,20.7,4.3,3.4,28.5,35.1
3303,21.3,4.3,3.4,29.1,34.4
3304,21.7,4.4,3.4,29.5,33.9
3305,21.2,4.3,3.4,29.0,34.5
3306,21.7,4.3,3.4,29.4,34.0
3307,21.3,4.3,3.4,29.1,34.4
3308,22.4,4.3,3.5,30.2,33.2
3309,23.4,4.3,3.4,31.1,32.2
3310,23.4,4.4,3.4,31.2,32.1
3311,23.0,4.3,3.4,30.7,32.6
3312,23.9,4.3,3.4,31.6,31.6
3313,23.6,4.6,3.4,31.6,31.7
3314,22.0,4.7,3.4,30.0,33.3
3315,23.1,4.7,3.4,31.2,32.1
3316,22.6,4.3,3.4,30.3,33.0
3317,23.4,4.3,3.4,31.1,32.1
3318,23.4,4.3,3.4,31.0,32.2
3319,22.3,4.3,3.4,29.9,33.4
3320,24.1,4.3,3.4,31.8,31.4
3321,23.5,4.4,3.4,31.3,31.9
3322,23.0,4.3,3.4,30.8,32.4
3323,23.7,4.4,3.5,31.5,31.7
3324,23.0,4.4,3.5,30.9,32.4
3325,26.2,4.3,3.4,33.9,29.5
3326,36.1,4.4,3.5,43.9,22.8
3327,36.5,4.4,2.4,43.3,23.1
3328,31.8,4.3,3.4,39.6,25.2
3329,31.8,4.3,3.4,39.5,25.3
3330,23.8,4.4,3.4,31.6,31.6
3331,20.6,4.3,3.4,28.3,35.3
3332,21.4,4.2,3.4,29.0,34.5
3333,21.0,4.2,3.4,28.6,34.9
3334,22.0,4.3,3.4,29.6,33.8
3335,20.7,4.2,3.4,28.3,35.4
3336,21.8,4.2,3.4,29.3,34.1
3337,21.8,4.2,3.4,29.4,34.0
3338,23.9,4.2,3.4,31.6,31.7
3339,23.1,4.2,3.4,30.7,32.6
3340,22.3,4.2,3.4,29.9,33.5
3341,23.3,4.2,3.4,30.9,32.4
3342,23.3,4.2,3.4,30.9,32.4
3343,23.2,4.2,3.4,30.7,32.5
