Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
4015,25.0,9.6,5.2,39.8,25.1
4016,21.7,9.5,5.2,36.4,27.5
4017,21.5,9.6,5.3,36.3,27.6
4018,21.1,9.6,5.2,35.9,27.9
4019,23.7,9.5,5.3,38.5,26.0
4020,22.8,9.6,5.2,37.7,26.6
4021,21.7,10.0,5.2,36.8,27.1
4022,23.4,10.0,5.2,38.6,25.9
4023,24.5,9.9,5.2,39.7,25.2
4024,26.7,10.2,5.2,42.1,23.7
4025,24.5,10.1,5.3,39.8,25.1
4026,23.3,9.5,5.2,38.1,26.2
4027,26.1,10.0,5.2,41.3,24.2
4028,25.0,10.0,5.3,40.3,24.8
4029,24.4,10.0,5.2,39.7,25.2
4030,23.9,10.1,5.2,39.3,25.5
4031,24.6,10.0,5.2,39.8,25.1
4032,24.4,10.0,5.2,39.5,25.3
4033,25.4,9.9,5.2,40.5,24.7
4034,24.4,10.0,5.2,39.6,25.3
4035,24.9,10.0,5.3,40.1,24.9
4036,23.9,10.0,5.3,39.2,25.5
4037,25.4,10.0,5.2,40.6,24.6
4038,24.3,9.9,5.2,39.4,25.4
4039,24.4,9.9,5.3,39.6,25.2
4040,23.2,10.0,5.3,38.6,25.9
4041,25.7,10.0,5.3,41.0,24.4
4042,25.9,10.1,5.2,41.2,24.3
4043,20.8,9.7,5.2,35.6,28.1
4044,21.4,9.7,5.3,36.3,27.6
4045,23.4,9.6,5.2,38.2,26.2
4046,21.1,9.6,5.3,36.0,27.8
4047,23.1,9.5,5.2,37.8,26.4
4048,22.8,9.8,5.2,37.8,26.4
4049,22.1,9.6,5.2,36.9,27.1
4050,24.6,9.6,5.2,39.4,25.4
4051,24.0,9.6,5.2,38.8,25.8
4052,25.2,9.6,5.2,40.0,25.0
4053,22.0,9.7,5.2,36.8,27.2
4054,24.2,9.7,5.3,39.2,25.5
4055,23.8,9.5,5.3,38.6,25.9
4056,26.1,9.9,5.2,41.2,24.3
4057,24.4,9.6,5.3,39.2,25.5
4058,23.8,9.6,5.2,38.6,25.9
4059,24.8,9.7,5.3,39.7,25.2
4060,21.3,9.7,5.2,36.2,27.6
4061,23.8,9.7,5.2,38.7,25.8
4062,24.2,9.9,5.3,39.4,25.4
4063,23.8,9.6,5.3,38.7,25.9
4064,21.8,9.6,5.2,36.6,27.3
4065,24.2,9.5,5.2,38.9,25.7
4066,24.8,9.5,5.2,39.6,25.3
4067,25.1,9.9,5.3,40.2,24.9
4068,23.0,9.9,5.2,38.1,26.2
4069,24.7,9.9,5.2,39.8,25.1
4070,24.9,9.7,5.2,39.9,25.1
4071,22.7,9.6,5.2,37.6,26.6
4072,21.0,9.7,5.3,36.0,27.8
4073,25.0,9.6,5.3,39.9,25.1
4074,23.8,9.7,5.2,38.7,25.8
4075,24.7,9.6,5.2,39.6,25.3
4076,21.9,9.6,5.2,36.6,27.3
4077,23.8,9.6,5.2,38.6,25.9
4078,21.0,9.6,5.3,35.9,27.9
4079,25.5,9.6,5.2,40.4,24.8
4080,21.8,9.6,5.2,36.6,27.3
4081,21.3,9.6,5.3,36.1,27.7
4082,24.3,9.7,5.2,39.2,25.5
4083,23.7,9.6,5.2,38.6,25.9
4084,25.2,9.7,5.2,40.0,25.0
4085,21.9,9.6,5.2,36.7,27.3
4086,24.3,9.4,5.2,38.9,25.7
4087,23.5,9.5,5.2,38.2,26.2
4088,22.7,9.5,5.2,37.5,26.7
4089,21.2,9.5,5.3,36.0,27.8
4090,24.3,9.5,5.2,39.1,25.6
4091,23.7,9.4,5.2,38.4,26.1
4092,25.0,9.4,5.3,39.8,25.2
4093,21.9,9.4,5.3,36.6,27.3
4094,24.7,9.4,5.3,39.4,25.4
4095,23.0,9.4,5.2,37.6,26.6
4096,21.0,9.4,5.2,35.7,28.0
4097,24.5,9.4,5.2,39.1,25.6
4098,23.8,9.5,5.2,38.5,26.0
4099,25.3,9.5,5.3,40.1,25.0
4100,22.8,9.5,5.3,37.6,26.6
4101,24.6,10.6,5.3,40.5,24.7
4102,23.3,9.5,5.3,38.0,26.3
4103,23.6,9.6,5.2,38.4,26.1
4104,21.0,9.5,5.2,35.7,28.0
4105,23.9,9.4,5.2,38.6,25.9
4106,20.6,9.5,5.2,35.3,28.3
4107,24.0,9.5,5.3,38.8,25.8
4108,22.5,9.4,5.3,37.2,26.9
4109,22.0,9.4,5.3,36.7,27.3
4110,21.5,9.5,5.2,36.1,27.7
4111,21.2,9.5,5.2,35.9,27.9
4112,23.4,9.4,5.3,38.1,26.3
4113,23.8,9.5,5.2,38.5,26.0
4114,22.2,9.5,5.3,37.0,27.1
4115,22.9,9.4,5.2,37.6,26.6
4116,20.5,9.5,5.3,35.2,28.4
4117,23.7,9.5,5.2,38.4,26.1
4118,23.9,9.5,5.2,38.6,25.9
4119,21.1,9.4,5.3,35.8,27.9
4120,24.0,9.5,5.3,38.8,25.8
