Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
5499,22.1,7,169.2,198.3,5
5500,23.2,7.3,171,201.4,5
5501,22.7,7.2,179,209,4.8
5502,23.1,7,156.8,186.9,5.4
5503,22.2,6.9,161.4,190.5,5.2
5504,22.7,7,171.6,201.4,5
5505,22.1,7,159,188,5.3
5506,23,7,165.1,195.1,5.1
5507,22.1,7,169.8,198.9,5
5508,22.8,7.1,164.6,194.4,5.1
5509,22.2,7,158.6,187.7,5.3
5510,23,7,159.8,189.8,5.3
5511,22.5,7.2,168.5,198.2,5
5512,22.8,7,168.5,198.4,5
5513,22.7,7.3,154.7,184.8,5.4
5514,23.2,7,165.9,196.1,5.1
5515,22,6.9,158.9,187.8,5.3
5516,23.2,7.2,182.3,212.7,4.7
5517,22.5,7.2,156.4,186,5.4
5518,23.1,7,155.2,185.3,5.4
5519,22.1,6.9,162.2,191.2,5.2
5520,23.2,7.2,162.9,193.3,5.2
5521,22.4,7,194,223.4,4.5
5522,23.3,7,185.6,215.9,4.6
5523,22.1,6.9,172.2,201.2,5
5524,22.8,7.1,171.5,201.3,5
5525,22,7,152.9,181.9,5.5
5526,22.9,7,165.2,195.2,5.1
5527,22.1,7,167.4,196.4,5.1
5528,22.6,7,163.1,192.7,5.2
5529,22.6,7.2,192,221.8,4.5
5530,23.2,7.1,148.9,179.2,5.6
5531,22.7,7.3,170.9,200.8,5
5532,22.9,7,153.8,183.7,5.4
5533,22.5,7.2,168.1,197.9,5.1
5534,23.2,7,158.8,189,5.3
5535,22.6,7.2,164.7,194.5,5.1
5536,23.2,7.3,169.6,200.2,5
5537,22.5,7.2,164.9,194.6,5.1
5538,23.1,7,166.1,196.3,5.1
5539,22.2,7,154.7,183.9,5.4
5540,23.2,7.3,162.9,193.5,5.2
5541,22.1,7,174.4,203.5,4.9
5542,23,7,152,182,5.5
5543,22.1,6.9,170.9,200,5
5544,23.3,7.3,166.3,196.9,5.1
5545,22.6,7.2,158.6,188.4,5.3
5546,23.5,7.3,166.6,197.3,5.1
5547,22.5,7.2,158.3,188,5.3
5548,23.2,7.3,159.1,189.5,5.3
5549,22.5,7.2,170.6,200.2,5
5550,22.8,7,153.7,183.5,5.4
5551,22.2,7,181,210.2,4.8
5552,22.7,7,220.7,250.3,4
5553,22.2,7,146.4,175.5,5.7
5554,23.1,7.1,168.1,198.3,5
5555,22.1,6.9,165.5,194.6,5.1
5556,22.7,7,168.9,198.6,5
5557,22.2,7,171.6,200.8,5
5558,23,7,167.9,197.9,5.1
5559,22.2,7,158.9,188.1,5.3
5560,22.8,7,166,195.7,5.1
5561,22.2,7,164.6,193.7,5.2
5562,23.1,7.1,170.8,201,5
5563,22.1,6.9,157.6,186.7,5.4
5564,23.2,7.4,159.3,189.8,5.3
5565,22.2,7,170.2,199.4,5
5566,22.9,7,161,190.9,5.2
5567,22.6,7.2,164,193.8,5.2
5568,23.2,7.3,167.3,197.8,5.1
5569,22.3,7,166.9,196.2,5.1
5570,22.9,7,151.2,181.1,5.5
5571,22.1,6.9,165.9,195,5.1
5572,23.2,7.3,168,198.5,5
5573,22.5,7.3,160.3,190.1,5.3
5574,23.5,7.3,163.3,194,5.2
5575,22.2,6.9,161.6,190.8,5.2
5576,22.7,7,163.5,193.3,5.2
5577,22.6,7.2,152.4,182.1,5.5
5578,23.4,7.3,166.9,197.6,5.1
5579,22.6,7.3,164.1,194,5.2
5580,22.8,7,160.7,190.5,5.2
5581,22.5,7.3,185.1,214.9,4.7
5582,23.2,7,181.3,211.5,4.7
5583,22.1,6.9,181.1,210.2,4.8
5584,22.8,7.1,176.2,206.1,4.9
5585,22,7,157.5,186.5,5.4
5586,23,7,162.1,192.2,5.2
5587,22.2,7,170.7,199.9,5
5588,22.6,7.1,170.7,200.4,5
5589,21.8,7,165.4,194.2,5.2
5590,22.9,7,172.1,202,5
5591,22.1,7,158.4,187.5,5.3
5592,22.5,7,165.9,195.3,5.1
5593,22.4,7.1,165.6,195.1,5.1
5594,23,7,163.1,193.1,5.2
5595,22.7,7.2,171.1,201.1,5
5596,23.2,7.2,171.4,201.8,5
5597,22.2,7,151,180.2,5.5
5598,23,7,164.7,194.7,5.1
5599,22.2,7,164.4,193.5,5.2
5600,22.7,7,160.5,190.2,5.3
5601,22.1,6.9,167.6,196.7,5.1
5602,23,7.1,170,200.1,5
5603,22.1,6.9,152.8,181.9,5.5
5604,22.8,7,164.9,194.7,5.1
5605,19.6,4.6,164.4,188.6,5.3
5606,20.3,4.7,167.1,192,5.2
5607,22.1,6.9,164,193.1,5.2
5608,22.8,7,164.7,194.5,5.1
5609,22.3,7,153.9,183.2,5.5
5610,23.6,7.3,162.6,193.5,5.2
5611,22.7,7.2,186.1,216,4.6
5612,23.1,7.2,220,250.4,4
5613,22.6,7.2,157,186.7,5.4
5614,23.4,7.2,195.7,226.4,4.4
5615,22.6,7.2,146.9,176.7,5.7
5616,23.2,7.2,177.5,207.9,4.8
5617,22.5,7.2,139.1,168.8,5.9
5618,23.5,7,165.1,195.5,5.1
5619,22.1,7,172.7,201.7,5
5620,22.9,7,167.3,197.2,5.1
